                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.1953,                 9.4235,                 4.3905,                      0,                      0,                      0,                      0,                 6.5223,                 5.6674,                 4.1611,              2.499e-05,              2.499e-05,              2.499e-05
                      2,                 6.2231,                 8.7891,                 4.3915,                      0,                      0,                      0,                      0,                 6.5227,                 5.6667,                 4.1634,             5.8021e-05,             5.8021e-05,             5.8021e-05
                      3,                 6.3487,                 8.7065,                 4.4448,                      0,                      0,                      0,                      0,                 6.5227,                 5.6706,                 4.1639,             9.0723e-05,             9.0723e-05,             9.0723e-05
                      4,                 6.0657,                 8.3001,                 4.1756,                      0,                      0,                      0,                      0,                  6.525,                 5.6761,                 4.1661,             0.00012309,             0.00012309,             0.00012309
                      5,                 6.0429,                 7.5775,                 3.9716,                      0,                      0,                      0,                      0,                 6.5255,                 5.6784,                 4.1689,             0.00015514,             0.00015514,             0.00015514
                      6,                  5.942,                 6.2175,                 3.8706,                      0,                      0,                      0,                      0,                 6.5267,                 5.6837,                  4.174,             0.00018685,             0.00018685,             0.00018685
                      7,                 5.6828,                 6.3589,                 3.6725,                      0,                      0,                      0,                      0,                 6.5303,                 5.4147,                 4.1829,             0.00021823,             0.00021823,             0.00021823
                      8,                 5.3047,                 5.4909,                 3.6866,                      0,                      0,                      0,                      0,                 6.5362,                 5.2477,                 4.2004,             0.00024928,             0.00024928,             0.00024928
                      9,                 5.1401,                 4.8624,                 3.7664,                      0,                      0,                      0,                      0,                 6.5435,                 5.2318,                 4.2219,                0.00028,                0.00028,                0.00028
                     10,                 4.9353,                 4.9776,                   3.52,                      0,                      0,                      0,                      0,                  6.555,                 5.2738,                 4.2537,              0.0003104,              0.0003104,              0.0003104
                     11,                 4.7724,                 4.7179,                  3.506,                      0,                      0,                      0,                      0,                 6.5631,                 5.3082,                 4.2761,             0.00034046,             0.00034046,             0.00034046
                     12,                  4.749,                 4.6864,                 3.5274,                      0,                      0,                      0,                      0,                 6.5763,                 5.3631,                 4.3126,             0.00037019,             0.00037019,             0.00037019
                     13,                 4.4647,                 4.5038,                 3.2469,                      0,                      0,                      0,                      0,                   6.59,                 5.4276,                 4.3551,              0.0003996,              0.0003996,              0.0003996
                     14,                 4.2887,                 4.0759,                 3.1606,                      0,                      0,                      0,                      0,                 6.5945,                 5.4509,                 4.3667,             0.00042867,             0.00042867,             0.00042867
                     15,                 3.8483,                 4.0017,                 3.0576,                      0,                      0,                      0,                      0,                 6.6101,                 5.5124,                 4.4144,             0.00045741,             0.00045741,             0.00045741
                     16,                  3.858,                 3.8812,                 2.8618,                      0,                      0,                      0,                      0,                 6.6189,                 5.5395,                 4.4435,             0.00048582,             0.00048582,             0.00048582
                     17,                 3.7702,                 3.7413,                 2.7639,                      0,                      0,                      0,                      0,                 6.6298,                 5.5619,                 4.4863,             0.00051391,             0.00051391,             0.00051391
                     18,                 3.7971,                 3.5314,                 2.7459,                      0,                      0,                      0,                      0,                 6.6374,                 5.5864,                 4.5107,             0.00054166,             0.00054166,             0.00054166
                     19,                  3.657,                 3.3946,                 2.6259,                      0,                      0,                      0,                      0,                 6.6369,                 5.6007,                 4.5107,             0.00056908,             0.00056908,             0.00056908
                     20,                 3.7564,                 3.5675,                 2.5083,                      0,                      0,                      0,                      0,                 6.6526,                 5.6663,                 4.5816,             0.00059618,             0.00059618,             0.00059618
                     21,                 3.8803,                 3.3427,                 2.3583,                      0,                      0,                      0,                      0,                 6.6615,                 5.7138,                 4.6228,             0.00062294,             0.00062294,             0.00062294
                     22,                 3.2911,                 3.0434,                 2.1508,                      0,                      0,                      0,                      0,                 6.6565,                 5.6857,                 4.5956,             0.00064938,             0.00064938,             0.00064938
                     23,                 3.4641,                 3.0419,                 2.2881,                      0,                      0,                      0,                      0,                 6.6523,                 5.6737,                  4.569,             0.00067548,             0.00067548,             0.00067548
                     24,                 3.5276,                 2.9843,                 2.1343,                      0,                      0,                      0,                      0,                 6.6389,                  5.663,                  4.506,             0.00070125,             0.00070125,             0.00070125
                     25,                 3.2586,                 2.8695,                 2.1311,                      0,                      0,                      0,                      0,                 6.6219,                  5.645,                 4.4328,              0.0007267,              0.0007267,              0.0007267
                     26,                 3.3964,                 3.1005,                 2.2405,                      0,                      0,                      0,                      0,                 6.6081,                 5.6434,                 4.3737,             0.00072992,             0.00072992,             0.00072992
                     27,                 3.1889,                 2.7606,                 2.0893,                      0,                      0,                      0,                      0,                 6.6238,                 5.6832,                  4.434,             0.00072579,             0.00072579,             0.00072579
                     28,                 3.0461,                 2.8353,                 1.9466,                      0,                      0,                      0,                      0,                 6.5945,                 5.7332,                 4.4171,             0.00072167,             0.00072167,             0.00072167
                     29,                 3.0395,                 2.6116,                 1.9146,                0.10714,                0.00726,                0.05754,                0.02334,                 5.9569,                 5.4159,                 3.9934,             0.00071755,             0.00071755,             0.00071755
                     30,                 3.0685,                 2.6132,                 1.8894,                0.07026,                0.07264,                0.07148,                0.03715,                 4.3206,                 4.3757,                 3.0947,             0.00071342,             0.00071342,             0.00071342
                     31,                  3.035,                 2.5986,                 1.9032,                0.95497,                 0.0684,                0.08633,                0.04402,                 3.3874,                  3.217,                 2.4746,              0.0007093,              0.0007093,              0.0007093
                     32,                 2.9099,                 2.4592,                 1.8321,                0.66251,                0.09201,                0.10656,                0.04968,                 3.0144,                 2.5933,                 2.0914,             0.00070518,             0.00070518,             0.00070518
                     33,                 2.9233,                 2.3197,                 1.7469,                0.54873,                0.07151,                0.10862,                 0.0584,                 2.9731,                 2.6061,                 2.0777,             0.00070105,             0.00070105,             0.00070105
                     34,                 2.8165,                 2.3668,                 1.7323,                0.73695,                 0.0706,                0.12112,                0.05904,                 3.0769,                 2.5584,                 2.0595,             0.00069693,             0.00069693,             0.00069693
                     35,                 3.0635,                 2.4411,                 1.7681,                0.46484,                0.15796,                0.20421,                 0.0819,                 2.7227,                 2.0929,                 1.9068,             0.00069281,             0.00069281,             0.00069281
                     36,                 2.8139,                 2.3735,                 1.7137,                0.51719,                0.17257,                0.21231,                0.09147,                 2.7305,                 2.1034,                 1.8108,             0.00068868,             0.00068868,             0.00068868
                     37,                 2.6713,                 2.3793,                 1.7157,                0.53721,                0.14445,                0.20343,                0.09737,                 2.8166,                 2.2367,                 1.7715,             0.00068456,             0.00068456,             0.00068456
                     38,                 2.7111,                 2.2238,                 1.6653,                0.53415,                0.29211,                0.30354,                0.13633,                 2.5264,                 1.9585,                 1.6687,             0.00068044,             0.00068044,             0.00068044
                     39,                 2.5997,                 2.1722,                 1.5933,                0.43557,                0.36877,                0.32036,                0.13212,                 2.4223,                 1.9482,                 1.5764,             0.00067631,             0.00067631,             0.00067631
                     40,                 2.6059,                 2.2928,                 1.5913,                0.51584,                0.31514,                0.33455,                0.15944,                 2.3543,                 1.9198,                 1.5284,             0.00067219,             0.00067219,             0.00067219
                     41,                 2.6445,                 2.1642,                 1.5351,                0.40972,                0.34197,                0.31417,                 0.1599,                 2.3198,                 1.8321,                 1.5115,             0.00066807,             0.00066807,             0.00066807
                     42,                 2.5858,                  2.189,                 1.5766,                 0.3199,                0.38711,                0.31417,                0.14342,                 2.3106,                 1.8912,                 1.4936,             0.00066394,             0.00066394,             0.00066394
                     43,                 2.5915,                 2.1518,                 1.5424,                0.26771,                0.35905,                0.26194,                0.08546,                 2.5186,                 2.0429,                 1.5382,             0.00065982,             0.00065982,             0.00065982
                     44,                 2.7509,                  2.201,                 1.5787,                0.41519,                0.37926,                 0.3527,                0.13891,                 2.2803,                 1.8515,                 1.4885,              0.0006557,              0.0006557,              0.0006557
                     45,                 2.5785,                 2.0969,                 1.5055,                0.44859,                0.35513,                 0.3844,                0.16532,                 2.2776,                 1.6952,                 1.4741,             0.00065157,             0.00065157,             0.00065157
                     46,                  2.556,                  2.105,                 1.5049,                0.45744,                0.32786,                0.38653,                0.17447,                 2.2542,                 1.6239,                 1.4477,             0.00064745,             0.00064745,             0.00064745
                     47,                 2.5905,                 2.1138,                  1.467,                0.37831,                0.42358,                0.40095,                0.18899,                 2.2154,                 1.6412,                 1.4119,             0.00064333,             0.00064333,             0.00064333
                     48,                 2.5492,                 2.0357,                 1.4522,                0.32289,                0.37977,                0.34347,                0.15401,                 2.3329,                 1.7721,                 1.4307,              0.0006392,              0.0006392,              0.0006392
                     49,                 2.4206,                 1.9593,                 1.4355,                0.45545,                0.41725,                0.38739,                0.17257,                 2.2583,                 1.9961,                 1.3876,             0.00063508,             0.00063508,             0.00063508
                     50,                 2.4198,                 1.9334,                 1.4234,                0.58118,                0.33801,                0.36123,                0.17129,                 2.2386,                 2.1358,                 1.3919,             0.00063096,             0.00063096,             0.00063096
                     51,                 2.5226,                 1.9794,                 1.5238,                 0.3925,                 0.3206,                0.32613,                0.15899,                 2.2573,                 2.1271,                 1.4039,             0.00062683,             0.00062683,             0.00062683
                     52,                 2.4311,                 1.9027,                 1.4357,                  0.315,                0.34954,                0.31287,                0.14725,                 2.2289,                 2.0233,                 1.4189,             0.00062271,             0.00062271,             0.00062271
                     53,                 2.5168,                 1.8771,                 1.4413,                0.33625,                 0.2891,                0.26532,                0.10558,                 2.4634,                 2.1375,                 1.5004,             0.00061859,             0.00061859,             0.00061859
                     54,                 2.4498,                 1.8616,                 1.4455,                 0.4194,                0.46806,                0.38934,                0.15674,                 2.2714,                 1.8591,                 1.4084,             0.00061446,             0.00061446,             0.00061446
                     55,                 2.3544,                 1.8426,                 1.4469,                0.41647,                0.51671,                0.43138,                0.19482,                 2.2439,                 1.7604,                 1.3879,             0.00061034,             0.00061034,             0.00061034
                     56,                 2.2786,                 2.0006,                 1.4409,                0.42857,                 0.5421,                0.42194,                0.19885,                 2.2398,                 1.8177,                 1.3684,             0.00060622,             0.00060622,             0.00060622
                     57,                 2.3249,                 1.8301,                  1.378,                0.40882,                 0.5544,                0.43914,                0.19825,                 2.1063,                 1.9932,                 1.3076,             0.00060209,             0.00060209,             0.00060209
                     58,                 2.2732,                  1.844,                  1.397,                0.41413,                0.52347,                0.43168,                0.18448,                 2.1468,                 2.1361,                 1.3124,             0.00059797,             0.00059797,             0.00059797
                     59,                 2.3453,                 1.8953,                 1.3647,                0.41488,                0.55216,                0.43416,                0.20319,                 2.0871,                 1.9127,                 1.2922,             0.00059385,             0.00059385,             0.00059385
                     60,                 2.3419,                 1.8297,                 1.3484,                0.41254,                0.54684,                0.45527,                0.22519,                 2.0476,                 1.7213,                 1.2776,             0.00058972,             0.00058972,             0.00058972
                     61,                 2.4314,                 1.8747,                 1.3919,                0.44069,                0.47656,                0.48047,                0.23657,                   1.99,                 1.5203,                 1.2718,              0.0005856,              0.0005856,              0.0005856
                     62,                 2.3765,                 1.9085,                 1.4095,                0.60856,                0.44379,                0.46332,                0.22341,                 2.0421,                 1.5159,                 1.3016,             0.00058148,             0.00058148,             0.00058148
                     63,                  2.287,                 1.7049,                 1.3656,                  0.487,                0.44507,                0.43151,                0.19119,                 2.1777,                  1.626,                 1.3675,             0.00057735,             0.00057735,             0.00057735
                     64,                 2.1803,                 1.6495,                 1.3345,                0.45669,                0.38229,                0.38484,                0.15466,                 2.3862,                 1.7906,                 1.4272,             0.00057323,             0.00057323,             0.00057323
                     65,                 2.2758,                 1.7284,                 1.3507,                0.51264,                0.41439,                0.38328,                0.14509,                 2.4796,                 1.7975,                 1.4518,             0.00056911,             0.00056911,             0.00056911
                     66,                 2.1483,                 1.6601,                 1.3329,                0.47217,                0.49128,                0.46541,                 0.2189,                 2.0352,                 1.7082,                 1.3323,             0.00056498,             0.00056498,             0.00056498
                     67,                 2.2903,                 1.6994,                 1.3316,                 0.4432,                0.50891,                0.47545,                0.22826,                 2.0522,                 1.6737,                  1.327,             0.00056086,             0.00056086,             0.00056086
                     68,                 2.2396,                 1.6479,                 1.3425,                0.57605,                0.50523,                0.48854,                0.23954,                 1.9492,                 1.6556,                 1.2978,             0.00055674,             0.00055674,             0.00055674
                     69,                 2.2304,                 1.6357,                 1.3076,                0.71032,                0.46921,                0.47146,                0.22226,                 2.0656,                 1.6314,                 1.3387,             0.00055261,             0.00055261,             0.00055261
                     70,                 2.3742,                  1.709,                 1.3143,                 0.5841,                0.33892,                0.36652,                0.15106,                 2.3723,                 1.7542,                 1.4055,             0.00054849,             0.00054849,             0.00054849
                     71,                 2.2539,                 1.7105,                 1.3412,                0.40783,                0.35175,                0.35861,                0.13443,                 2.4111,                 1.8303,                 1.4103,             0.00054437,             0.00054437,             0.00054437
                     72,                 2.0674,                  1.583,                 1.3019,                 0.5709,                0.41375,                0.44514,                0.20836,                 2.0173,                 1.6908,                 1.3341,             0.00054024,             0.00054024,             0.00054024
                     73,                 2.2734,                  1.671,                 1.3391,                0.43546,                0.50853,                 0.5015,                 0.2482,                   1.92,                 1.4575,                 1.2938,             0.00053612,             0.00053612,             0.00053612
                     74,                 2.1715,                 1.6524,                 1.3257,                  0.739,                0.50295,                0.52067,                0.25343,                 1.9198,                 1.3978,                 1.2805,               0.000532,               0.000532,               0.000532
                     75,                 2.1532,                 1.5991,                 1.3522,                0.72208,                0.49407,                0.52688,                0.24997,                 1.9183,                 1.4212,                 1.2903,             0.00052787,             0.00052787,             0.00052787
                     76,                 2.2116,                 1.7345,                 1.3353,                0.65932,                0.50833,                0.49127,                0.22255,                 2.0465,                  1.525,                 1.3261,             0.00052375,             0.00052375,             0.00052375
                     77,                 2.1539,                 1.6227,                 1.3012,                0.73027,                0.39546,                0.45912,                0.21277,                 1.9929,                 1.5431,                  1.321,             0.00051963,             0.00051963,             0.00051963
                     78,                 2.1075,                 1.5658,                 1.3033,                0.74227,                0.37922,                0.45117,                0.22696,                 1.8663,                 1.5261,                 1.2916,              0.0005155,              0.0005155,              0.0005155
                     79,                 2.0938,                 1.5163,                 1.2808,                0.72799,                 0.4731,                0.51467,                0.25816,                 1.8638,                 1.4047,                 1.2735,             0.00051138,             0.00051138,             0.00051138
                     80,                 2.1274,                 1.5978,                 1.2485,                0.58996,                0.51367,                0.51014,                0.25154,                 1.8993,                 1.4576,                 1.2608,             0.00050726,             0.00050726,             0.00050726
                     81,                 2.0236,                 1.6221,                 1.2614,                0.55089,                0.52528,                0.48636,                0.23974,                 1.9232,                 1.5939,                 1.2483,             0.00050313,             0.00050313,             0.00050313
                     82,                 2.0036,                 1.5686,                 1.2562,                0.63825,                0.49173,                0.50622,                 0.2442,                 1.9412,                 1.5293,                 1.2539,             0.00049901,             0.00049901,             0.00049901
                     83,                 2.1835,                 1.6552,                 1.2548,                 0.5637,                0.52283,                0.51298,                  0.243,                 1.9769,                 1.4439,                 1.2685,             0.00049489,             0.00049489,             0.00049489
                     84,                  2.093,                 1.5788,                 1.2848,                0.58685,                0.51551,                0.51666,                0.25197,                  1.856,                 1.4199,                 1.2417,             0.00049076,             0.00049076,             0.00049076
                     85,                 2.0681,                 1.5195,                 1.2517,                 0.6186,                0.54364,                0.56117,                0.27821,                 1.7776,                 1.3667,                 1.2073,             0.00048664,             0.00048664,             0.00048664
